Τμήμα;Γεωγραφικό πλάτος (μοίρες);Γεωγραφικό μήκος (μοίρες);Χρόνος;
kostantinos;379777733,3;2372381;21:27:20;
elena;37975930;23723958;21:27:20;
elena;37975930;23723958;21:27:20;
alex;37977352;23722496;21:27:21;
kostantinos;3797,777;23723815;21:27:21;
alex;37977343;23722488;21:27:22;
kostantinos;379777683,3;23723815;21:27:22;
elina;37976570;23729908;21:27:22;
kostantinos;379777716,7;23723815;21:27:23;
phillip;37977621;23730665;21:27:23;
alex;3797732;23722474;21:27:24;
kostantinos;379777733,3;2372381333;21:27:24;
elina;37976613;23730005;21:27:25;
kostantinos;3797777667;2372381333;21:27:25;
kostantinos;3797777667;2372381333;21:27:26;
alex;379772;23722363;21:27:27;
kostantinos;3797777667;2372381333;21:27:27;
alex;37977142;23722346;21:27:28;
kostantinos;3797,778;2372381333;21:27:28;
kostantinos;3797,778;2372381667;21:27:29;
kostantinos;3797778333;23723815;21:27:30;
kostantinos;37977,785;2372381333;21:27:31;
kostantinos;37977,785;2372381;21:27:32;
elina;37976638;23730108;21:27:32;
phillip;37977607;23730782;21:27:33;
kostantinos;3797778333;2372380833;21:27:33;
kostantinos;3797,773;23723755;21:27:35;
elena;37976039;23723903;21:27:35;
elena;37976039;23723903;21:27:35;
kostantinos;379777083,3;2372374167;21:27:36;
alex;37977177;23722313;21:27:38;
kostantinos;379777033,3;2372371833;21:27:38;
alex;37977177;23722297;21:27:39;
kostantinos;3797769833;23723715;21:27:39;
kostantinos;3797769333;23723715;21:27:40;
elisavet;37978869;23726125;21:27:40;
phillip;37977559;23730888;21:27:41;
kostantinos;3797769167;2372369333;21:27:41;
kostantinos;3797769167;2372367333;21:27:42;
kostantinos;3797,769;2372366;21:27:43;
alex;37977196;23722248;21:27:43;
alex;379772;23722234;21:27:44;
elina;37976652;23730211;21:27:44;
kostantinos;379776866,7;2372365167;21:27:44;
kostantinos;3797,769;2372364;21:27:45;
elena;37976082;23723795;21:27:45;
elena;37976082;23723795;21:27:45;
kostantinos;3797769333;2372362333;21:27:46;
kostantinos;379777016,7;2372362333;21:27:47;
kostantinos;379777016,7;2372362;21:27:48;
alex;37977195;23722178;21:27:48;
alex;37977192;23722174;21:27:49;
kostantinos;379777066,7;23723625;21:27:49;
elisavet;37978959;23726206;21:27:49;
phillip;37977586;23730998;21:27:49;
kostantinos;3797,764;2372366;21:27:52;
elina;37976662;23730320;21:27:52;
alex;37977204;23722125;21:27:53;
alex;37977202;2372211;21:27:54;
elena;37976047;23723680;21:27:54;
elena;37976047;23723680;21:27:54;
kostantinos;3797,766;2372363667;21:27:55;
alex;37977199;23722073;21:27:56;
elisavet;37979044;23726275;21:27:56;
kostantinos;3797766667;2372361667;21:27:56;
alex;37977198;23722052;21:27:57;
phillip;37977685;23730984;21:27:57;
alex;37977215;23722017;21:27:59;
elina;37976688;23730421;21:27:59;
kostantinos;379777866,7;2372353167;21:27:59;
alex;3797723;23722005;21:28:00;
kostantinos;379777916,7;2372352667;21:28:00;
elisavet;37979113;23726370;21:28:01;
elina;37976574;23730408;21:28:01;
kostantinos;379777933,3;2372352667;21:28:01;
alex;3797725;23721977;21:28:02;
kostantinos;379777916,7;23723525;21:28:02;
alex;37977263;2372196;21:28:03;
elena;37976028;23723543;21:28:03;
elena;37976028;23723543;21:28:03;
kostantinos;379777916,7;2372352167;21:28:03;
kostantinos;379777916,7;2372352167;21:28:04;
alex;37977298;23721936;21:28:05;
elina;37976631;23730503;21:28:05;
alex;37977316;23721934;21:28:06;
kostantinos;379778866,7;2372339833;21:28:07;
phillip;37977773;23731010;21:28:08;
kostantinos;3797789167;2372339333;21:28:08;
alex;37977338;23721898;21:28:09;
elisavet;37979187;23726438;21:28:09;
kostantinos;3797789833;2372338167;21:28:09;
alex;37977352;23721887;21:28:10;
kostantinos;379779316,7;23723335;21:28:11;
elina;37976586;23730591;21:28:11;
kostantinos;37977,935;2372333167;21:28:12;
alex;37977374;23721848;21:28:13;
elisavet;37979149;23726557;21:28:13;
kostantinos;37977,945;2372331333;21:28:13;
alex;37977373;23721834;21:28:14;
phillip;37977856;23731077;21:28:14;
kostantinos;379779516,7;2372330000;21:28:14;
elisavet;37979118;23726673;21:28:15;
kostantinos;3797795667;2372329167;21:28:15;
kostantinos;379779583,3;23723285;21:28:16;
elina;37976595;23730696;21:28:17;
alex;37977392;23721789;21:28:18;
phillip;37977945;23731110;21:28:18;
kostantinos;379779766,7;2372324167;21:28:18;
alex;37977388;23721778;21:28:19;
elena;37976011;23723378;21:28:19;
elena;37976011;23723378;21:28:19;
kostantinos;3797798333;2372322833;21:28:19;
elina;37976673;23730752;21:28:22;
alex;37977403;23721728;21:28:23;
kostantinos;3797,792;23723045;21:28:23;
phillip;37978044;23731123;21:28:23;
alex;37977407;23721712;21:28:24;
kostantinos;379779133,3;2372297333;21:28:25;
kostantinos;37977,915;2372295667;21:28:26;
alex;3797741;23721633;21:28:27;
kostantinos;3797,791;23722955;21:28:27;
kostantinos;379779066,7;2372295667;21:28:28;
alex;37977381;23721545;21:28:29;
alex;37977381;23721545;21:28:30;
elena;37975969;23723264;21:28:30;
elena;37975969;23723264;21:28:30;
alex;37977424;2372166;21:28:31;
kostantinos;37978,005;2372301;21:28:31;
elisavet;37979048;23726752;21:28:31;
phillip;37978138;23731148;21:28:32;
kostantinos;379780133,3;2372301167;21:28:32;
alex;37977439;23721611;21:28:34;
alex;37977451;237216;21:28:35;
kostantinos;3797,814;2372290667;21:28:35;
kostantinos;379781266,7;2372290833;21:28:36;
phillip;37978200;23731236;21:28:37;
kostantinos;3797812333;2372290333;21:28:37;
elina;37976758;23730779;21:28:38;
kostantinos;3797812333;2372289833;21:28:38;
alex;37977441;23721547;21:28:39;
kostantinos;379781216,7;2372289833;21:28:39;
elisavet;;;21:28:39; how far can netless reach
alex;3797744;23721529;21:28:40;
elisavet;37978952;23726765;21:28:40;
elena;37975970;23723150;21:28:41;
elena;37975970;23723150;21:28:41;
kostantinos;379780666,7;2372285333;21:28:41;
alex;37977441;23721474;21:28:42;
alex;37977418;23721431;21:28:43;
kostantinos;37978;23722805;21:28:43;
kostantinos;37977,985;237228;21:28:44;
alex;3797739;23721397;21:28:44;
alex;37977371;23721372;21:28:45;
kostantinos;3797,799;2372277833;21:28:45;
elina;;;21:28:45;how far can netless reach
elina;;;21:28:45;how far can netless reach
alex;3797735;23721349;21:28:46;
elina;37976774;23730881;21:28:46;
kostantinos;379779916,7;2372276167;21:28:46;
alex;37977331;23721333;21:28:47;
kostantinos;379779716,7;2372275667;21:28:47;
elisavet;;;21:28:47;how far can netless reach
kostantinos;379779533,3;2372275333;21:28:48;
kostantinos;37977,925;2372275;21:28:49;
alex;37977301;23721309;21:28:49;
phillip;37978297;23731238;21:28:49;
alex;3797729;23721296;21:28:50;
kostantinos;3797789833;2372274167;21:28:50;
elena;37976001;23723033;21:28:51;
elena;37976001;23723033;21:28:51;
elina;37976840;23730954;21:28:51;
elina;;;21:28:51;how far can netless reach
elina;;;21:28:51;netless@frown
elina;;;21:28:51;how far can netless reach
elina;;;21:28:51;netless@frown
kostantinos;3797780333;2372275833;21:28:52;
alex;37977272;23721259;21:28:53;
kostantinos;379777716,7;2372275;21:28:54;
alex;3797726;23721246;21:28:54;
elina;;;21:28:54;how far can netless reach
elina;;;21:28:54;netless@frown
elina;;;21:28:54;how far can netless reach
elina;;;21:28:54;netless@frown
kostantinos;3797776167;2372274833;21:28:55;
alex;37977233;23721215;21:28:56;
kostantinos;3797,775;2372274667;21:28:56;
alex;37977222;23721207;21:28:57;
kostantinos;3797773667;2372273667;21:28:57;
kostantinos;3797,772;2372273;21:28:58;
elisavet;37978826;23726774;21:29:00;
elina;37976922;23730977;21:29:00;
kostantinos;379776883,3;2372272667;21:29:00;
elina;;;21:29:00;how far can netless reach
elina;;;21:29:00;how far can netless reach
kostantinos;379777033,3;2372271;21:29:01;
alex;37977183;23721187;21:29:01;
elena;37976048;23722926;21:29:01;
elena;37976048;23722926;21:29:01;
alex;37977172;23721182;21:29:02;
kostantinos;3797771333;2372266333;21:29:02;
phillip;37978390;23731208;21:29:03;
alex;37977136;23721161;21:29:05;
kostantinos;379778816,7;2372249333;21:29:05;
alex;37977124;23721157;21:29:06;
elisavet;37978724;23726774;21:29:06;
kostantinos;379778816,7;23722485;21:29:07;
alex;37977094;23721148;21:29:08;
elina;;;21:29:08;how far can netless reach
elina;;;21:29:08;how far can netless reach
alex;37977078;23721145;21:29:09;
elina;37977008;23730957;21:29:09;
kostantinos;3797,793;2372243667;21:29:09;
elina;;;21:29:09;netless@frown
elina;;;21:29:09;netless@frown
kostantinos;379779316,7;2372243167;21:29:10;
kostantinos;379779333,3;2372243;21:29:11;
phillip;37978469;23731136;21:29:11;
alex;37977037;23721133;21:29:12;
kostantinos;3797793667;2372242667;21:29:12;
alex;37977026;23721129;21:29:13;
elena;37976083;23722821;21:29:13;
elena;37976083;23722821;21:29:13;
kostantinos;3797794167;2372242333;21:29:13;
kostantinos;3797794333;2372242;21:29:14;
elisavet;37978641;23726716;21:29:14;
elina;37977089;23730990;21:29:14;
kostantinos;37977,945;2372241833;21:29:15;
alex;37976987;23721129;21:29:16;
kostantinos;3797,795;2372241333;21:29:16;
alex;37976974;23721128;21:29:17;
kostantinos;3797795667;23722405;21:29:17;
